Country ID,Latitude,Longitude
1,35.687,139.765
8,18.2166667,-63.05
9,17.1166667,-61.85
10,-34.5875,-58.6725
11,12.5166667,-70.0333333
12,25.0833333,-77.35
13,13.1,-59.6166667
14,17.25,-88.7666667
15,-16.5,-68.15
16,-15.7833333,-47.9166667
17,18.4166667,-64.6166667
18,45.26680278,-75.74934996
19,19.3,-81.3833333
20,-33.45,-70.6666667
21,4.25,-74.1833333
22,9.9333333,-84.0833333
23,15.3,-61.4
24,18.4666667,-69.9
25,-0.2166667,-78.5
26,13.7086111,-89.2030556
27,4.9333333,-52.3333333
28,12.05,-61.75
29,16,-61.7166667
30,14.6211111,-90.5269444
31,6.8,-58.1666667
32,18.5391667,-72.335
33,14.1,-87.2166667
34,18,-76.8
35,14.6,-61.0833333
36,19.4341667,-99.1386111
37,16.7,-62.2166667
38,12.1,-68.9166667
39,12.1508333,-86.2683333
40,8.9666667,-79.5333333
41,-25.2666667,-57.6666667
42,-12.05,-77.05
43,17.3,-62.7166667
44,14,-61
45,13.1333333,-61.2166667
46,5.8333333,-55.1666667
47,10.65,-61.5166667
48,21.4666667,-71.1333333
49,38.895,-77.03667
50,-34.8580556,-56.1708333
51,18.34389,-64.93111
52,10.5,-66.9166667
64,41.32583333,19.82516667
65,-33.89158,151.2417
66,48.205,16.3705
67,50.83983333,4.37
68,43.85383333,18.408
69,-24.65233333,25.90516667
70,42.70783333,23.30666667
71,45.816667,15.983333
72,35.167,33.373
73,50.07383333,14.4335
74,55.933333,12.316667
75,59.431,24.73416667
76,60.170833,24.9375
77,48.85284,2.349857
78,52.52116667,13.40366667
79,37.97466667,23.7245
80,47.49,19.08
81,64.13483333,-21.89066667
82,53.341,-6.257
83,41.89283333,12.48916667
84,56.948,24.085
85,-29.319,27.471
86,47.1405,9.524333333
87,54.681,25.282
88,49.609,6.125
89,41.996944,21.433056
90,35.9025,14.518
91,42.43883333,19.26783333
92,-25.968,32.56833333
93,-22.55366667,17.0835
94,52.369,4.886
95,-36.895,174.76
96,59.936,10.70733333
97,52.24016667,21.007
98,38.7245,-9.1425
99,44.43333333,26.08333333
100,55.76666667,37.61666667
101,44.83433333,20.4865
102,48.152,17.124
103,46.053,14.50216667
104,-26.143,28.05
105,40.41666667,-3.7025
106,-26.31783333,31.1395
107,59.286,18.073
108,46.95383333,7.417666667
109,39.92433333,32.852
110,51.50533333,-0.120166667
111,-15.41666667,28.28333333
112,-17.82416667,31.05233333
113,40.379571,49.891233
114,18.1,-15.95
115,12.65,-8
116,13.521389,2.105278
117,12.112,15.035
118,15.633056,32.533056
119,15.333333,38.933333
120,11.588,43.145
121,2.033333,45.35
122,42.5,1.5
123,36.133333,-5.35
124,49.45,-2.55
125,54.16733333,-4.483333333
126,49.190017,-2.11
127,43.716667,7.416667
128,25.035089,121.506699
136,37.5,127
144,22.46666667,114.3
153,1.2930556,103.8558333
156,3.1666667,101.7
160,39.91666667,116.4333333
168,24.4666667,54.3666667
169,28.6,77.2
174,24.6408333,46.7727778
184,43.933333,12.433333
185,41.9,12.45
186,32.3333,-64.75}
